title,thumbnail,short_content,write_time,link,company
배우자 호감도는 동률… ‘내조 경쟁’ 가열,https://img.segye.com/content/image/2025/05/28/300/20250528516668.jpg,대선을 6일 앞둔 28일 양당 대선후보 배우자들도 열띤 ‘내조 경쟁’을 벌이며 막판 총력전에 가세했다. 더불어민주당 이재명 대선후보의 배우자인 김혜경씨는 공개 일정을 자제하고 차분한 기조를 이어가는 반면 국민의힘 김문수 대선후보의 배우자 설난영씨는 적극적으로 ‘광폭 행보’를 소화하며 두 후보 배우자의 행보가 대비됐다. 설씨는 이날 경기 수원·의왕 등을,2025-05-28 18:45:00,http://www.segye.com/newsView/20250528515585,세계일보
여의도 간 이준석 “성공 사다리 유지돼야”,https://img.segye.com/content/image/2025/05/28/300/20250528516718.jpg,"6·3대선 사전투표를 하루 앞둔 28일 개혁신당 이준석 대선후보는 “단일화는 애초에 염두에 둔 바 없다”고 밝혔다. 사전투표 용지엔 ‘사퇴’ 표기가 가능해 사전투표 전날인 이날이 단일화 최종 ‘데드라인’으로 거론됐지만, 이 후보는 재차 완주 의지를 다졌다. 이 후보는 이날 서울 여의도공원에서 진행된 산책 유세를 마친 후 기자들과 만나 “대통령이 된다면",2025-05-28 18:41:54,http://www.segye.com/newsView/20250528515574,세계일보
김문수 “삼권분립 붕괴 저지”…TK·PK 찾아 집토끼 단속,https://img.segye.com/content/image/2025/05/28/300/20250528516735.jpg,제21대 대통령선거 사전투표를 하루 앞둔 28일 국민의힘 김문수 대선 후보가 부산·경남(PK)과 대구·경북(TK) 지역을 연이어 방문하며 유세 총력전에 나섰다. ‘보수 텃밭’에서 지지층을 총결집해 막판 대역전극을 노리겠다는 전략이다. 김 후보는 “더불어민주당 이재명 후보가 당선되면 삼권분립이 붕괴된다”며 ‘반(反)독재’ 프레임 형성에 주력했다. 김 후,2025-05-28 18:37:49,http://www.segye.com/newsView/20250528515577,세계일보
"‘안갯속 일주일’ 유동층에 촉각
진영 간 지지층 결집 사활",https://img.segye.com/content/image/2025/05/28/300/20250528517308.jpg,"제21대 대통령선거가 ‘블랙아웃’ 구간에 진입했다. 28일부터 새로 실시되는 여론조사의 공표가 금지됐고, 29일부터는 이틀간 사전투표가 실시된다. 마지막 여론조사에서는 더불어민주당 이재명 대선후보의 우위 속 국민의힘 김문수 대선후보의 추격전 흐름이다. 과거 대선 사례에 비춰볼 때 유권자의 약 10%는 이 시점에 최종 후보를 결정한 것으로 나타나, ‘막판 변",2025-05-28 18:26:25,http://www.segye.com/newsView/20250528515764,세계일보
"이재명, 다시 ‘내란 종식’ 고삐…서울서 다시 공세모드",https://img.segye.com/content/image/2025/05/28/300/20250528516752.jpg,"더불어민주당 이재명 대선 후보가 28일 서울에서 유세를 재개했다. 전날 TV토론 준비로 하루 현장 유세를 쉬었던 그는 다시 신발 끈을 고쳐 묶었다. 이 후보는 이날 서울 동북권인 광진구와 성동구를 찾아 지지를 호소했다. TV토론이 마무리된 만큼, 방어보다 공세에 집중하는 기조가 이어질 것으로 보인다. 이 후보와 민주당은 선거 내내 강조해온 ‘내란 종식’ 메",2025-05-28 18:15:00,http://www.segye.com/newsView/20250528515579,세계일보
"투표자 수 매시간 공개·관리자 모두 한국인…선관위, ‘부정선거 의혹’ 차단",https://img.segye.com/content/image/2025/05/28/300/20250528517077.jpg,중앙선거관리위원회가 29일부터 30일까지 이틀간 실시되는 제21대 대통령선거 사전투표에서 부정선거 의혹 등을 막기 위해 투표소별 투표자수를 1시간 단위로 공개하기로 했다. 선관위는 투·개표 사무원과 투표관리관 26만여명을 모두 한국 국적자로 지정하기로 하는 등 부정선거 의혹 차단에 만전을 기한다는 방침이다. 선관위는 28일 보도자료에서 “이번 21대,2025-05-28 18:08:27,http://www.segye.com/newsView/20250528517046,세계일보
김영록 지사 “투표혁명으로 대한민국 심장 다시 뛰게 하자”,https://img.segye.com/content/image/2025/05/28/300/20250528517048.jpg,"김영록 전남도지사는 28일 “투표는 힘이고, 희망이며 변화다. 멈춰버린 대한민국의 심장을 다시 뛰게 하고 더 위대한 전라남도의 미래를 열어가기 위해 꼭 투표해주길 바란다”고 호소했다. 김 지사는 이날 도청 브리핑룸에서 6·3 대선 투표 동참 대도민 담화문을 통해 “우리는 불법 비상계엄으로 대한민국 헌정질서가 한순간에 무너지는 위기를 겪었다”며 “위대한",2025-05-28 18:05:04,http://www.segye.com/newsView/20250528516968,세계일보
이재명 ‘기재부 분리·대법관 증원’ 공식화,https://img.segye.com/content/image/2025/05/28/300/20250528516576.jpg,"더불어민주당 이재명 대선후보는 28일 기획재정부에서 예산 기능을 분리하고, 여성가족부를 성평등가족부로 확대하며, 기후에너지부를 신설하는 내용을 포함하는 정부조직 개편을 공식화했다. 이외에 추가적인 정부조직 개편은 없을 것이라고 했다. 이 후보는 이날 발표한 대선공약집과 기자들과의 질의응답에서 기재부 분리 방침을 거듭 확인했다. 이 후보는 기자들과 만나 “기",2025-05-28 18:00:00,http://www.segye.com/newsView/20250528515844,세계일보
‘여성신체폭력 발언’ 이준석 “순화 방법 없다”…‘2차 피해’ 지적에 “심심한 사과”,https://img.segye.com/content/image/2025/05/28/300/20250528516882.jpg,개혁신당 이준석 대선 후보는 28일 전날 TV토론에서 성폭력적 ‘여성 혐오’ 발언을 인용한 것에 “(해당 발언 외에) 어떻게 순화해서 표현할지 알지 못한다”고 말했다. 다만 ‘2차 피해 논란’ 등 취재진의 관련 질의가 이어지자 “심심한 사과를 하겠다”고 밝혔다. 이 후보는 이날 서울 여의도공원 산책 유세 후 기자들과 만나 “물론 (TV토론을) 보며 불,2025-05-28 17:56:10,http://www.segye.com/newsView/20250528516816,세계일보
민주화 이후 30년 ‘대선후보자 공약집’ 나온다,https://img.segye.com/content/image/2025/05/28/300/20250528516449.jpg,중앙선거관리위원회가 역대 대선 공약을 담은 ‘대선 후보자 공약집’(가칭)을 발간하겠다고 28일 밝혔다. 선거공약 관리 부실과 정책선거 실종을 지적한 세계일보의 매니페스토 보도에 따른 정책선거 활성화 대책의 일환이다. 선관위 관계자는 이날 통화에서 “민주화 이후 지난 30년간 치러진 역대 대선 후보자들의 정책공약을 수록한 가칭 대통령선거 후보자 공약집을 발간,2025-05-28 17:37:21,http://www.segye.com/newsView/20250528515838,세계일보
